№ П/П;node;pkt;trans;tr_s;sn
И-145;1;;;;
;1;;;;
20;СЕ-2-103;40;ТМ-10;250;135,1
21;СЕ-2-190;20;ТМ-10;160;80,7
22;СЕ-2-1130П;;ТМ-10;63;
23;СЕ-2-147;50;ТМ-10;400;244,7
24;СЕ-2-1132П;;ТМ-10;40;
25;СЕ-2-1118П;;ТМ-10;63;
26;СЕ-2-833П;;ТМ-10;63;
27;СЕ-2-1151П;;ТМ-10;63;
28;СЕ-2-1158П;;ТМ-10;25;
29;СЕ-2-13;20;ТМ-10;160;158,4
30;СЕ-2-802;20;ТМ-10;160;81,4
31;СЕ-2-28;80;ТМ-10;630;
32;СЕ-2-807П;;ТМ-10;100;
33;СЕ-2-143;40;ТМ-10;250;206,3
34;СЕ-2-141;20;ТМ-10;160;37,9
35;СЕ-2-17;50;ТМ-10;400;211,5
36;СЕ-2-828П;;ТМ-10;400;
37;СЕ-2-90;40;ТМ-10;250;116,5
38;СЕ-2-91;40;ТМ-10;250;131,1
39;СЕ-2-850П;;ТМ-10;400;
40;СЕ-2-21;50;ТМ-10;400;220,7
41;СЕ-2-18;40;ТМ-10;250;157,7
42;СЕ-2-881;16;ТМ-10;100;73,6
43;СЕ-2-833П;;ТМ-10;100;
44;СЕ-2-832П;;ТМ-10;250;
45;СЕ-2-83;16;ТМ-10;100;22,7
45;СЕ-2-1187;40;ТМ-10;250;
46;СЕ-2-11;10;ТМ-10;50;7,8
47;СЕ-2-12П;;ТМ-10;100;
48;СЕ-2-134П;;ТМ-10;90;
49;СЕ-2-1131П;;ТМ-10;100;
50;СЕ-2-1177;5;ТМ-10;25;13
51;СЕ-2-1141П;;ТМ-10;25;
